        37 -0.8665396E-01  0.6301307E+00 -0.7648580E+00 -0.5579665E-01 -0.5635058E-01  0.4172416E+00  0.4037614E+00 -0.5026786E+00 -0.4861337E+00 -0.7407451E-07 -0.4642962E-07 -0.8473136E+00 -0.5310929E+00  0.0000000E+00  0.0000000E+00
        39 -0.1643624E+00  0.6554679E+00 -0.7310327E+00 -0.2439256E-01 -0.1400494E+00  0.1310666E+00  0.6033387E+00 -0.1491257E+00 -0.6746104E+00 -0.4258746E-07 -0.7634822E-07 -0.4871438E+00 -0.8733218E+00  0.0000000E+00  0.0000000E+00
        43  0.8896752E+00 -0.2350649E+00  0.3784820E+00 -0.3461706E+00 -0.1972930E+00  0.9001871E-01  0.5842315E-01 -0.1542900E+00 -0.8637238E-01 -0.7521564E-07 -0.4455726E-07 -0.8603666E+00 -0.5096757E+00  0.0000000E+00  0.0000000E+00
        44  0.9232618E+00 -0.2439293E+00  0.2812833E+00 -0.4028557E+00 -0.1540168E+00  0.9830118E-01  0.4646620E-01 -0.1217402E+00 -0.4786250E-01 -0.8304516E-07 -0.2731745E-07 -0.9499259E+00 -0.3124752E+00  0.0000000E+00  0.0000000E+00
        46  0.8897004E+00 -0.3768550E+00  0.2353384E+00 -0.5455157E+00 -0.3358533E+00  0.2226152E+00  0.1485229E+00 -0.1472102E+00 -0.8787780E-01 -0.7522289E-07 -0.4454502E-07 -0.8604496E+00 -0.5095356E+00  0.0000000E+00  0.0000000E+00
        47  0.9230563E+00 -0.3038368E+00  0.2171309E+00 -0.4833453E+00 -0.1742997E+00  0.1620982E+00  0.6915091E-01 -0.1248094E+00 -0.4275281E-01 -0.8300881E-07 -0.2742771E-07 -0.9495101E+00 -0.3137365E+00  0.0000000E+00  0.0000000E+00
        49  0.8457898E+00 -0.3993355E+00  0.3343416E+00 -0.4475011E+00 -0.4441772E+00  0.2099392E+00  0.2194419E+00 -0.1783329E+00 -0.1809059E+00 -0.5974641E-07 -0.6382091E-07 -0.6834193E+00 -0.7300261E+00  0.0000000E+00  0.0000000E+00
        51  0.8455591E+00 -0.3174529E+00  0.4133328E+00 -0.3474316E+00 -0.3494252E+00  0.1251342E+00  0.1387898E+00 -0.1753787E+00 -0.1743381E+00 -0.5965120E-07 -0.6390991E-07 -0.6823302E+00 -0.7310441E+00  0.0000000E+00  0.0000000E+00
        59  0.6424896E+00  0.7544018E+00 -0.8666438E-01 -0.4697698E+00  0.7020246E+00 -0.5694104E+00  0.8461611E+00  0.6935285E-01 -0.1008807E+00  0.4652142E-07 -0.7401689E-07  0.5321430E+00 -0.8466545E+00  0.0000000E+00  0.0000000E+00
        60  0.6819382E+00  0.7254037E+00  0.3184968E-02 -0.2965689E+00  0.8682400E+00 -0.3032275E+00  0.8823031E+00  0.2341524E-02 -0.1341585E-02  0.2635622E-07 -0.8335522E-07  0.3014800E+00 -0.9534725E+00  0.0000000E+00  0.0000000E+00
